"utm_source","utm_medium","utm_campaign","visit_date","visitors_count","total_cost","leads_count","purchase_count","revenue"
yandex,cpc,prof-frontend,"01-06-2023",30,1827336,30,30,7139700
yandex,cpc,freemium,"01-06-2023",60,1003508,60,60,6982980
vk,cpc,freemium-frontend,"01-06-2023",30,78763,30,30,5676300
yandex,cpc,freemium,"01-06-2023",30,501754,30,30,5669730
yandex,cpc,prof-frontend,"01-06-2023",30,1827336,30,30,5409180
vk,cpc,prof-java,"01-06-2023",30,132757,30,30,5364000
yandex,cpc,prof-frontend,"01-06-2023",30,1827336,30,30,5028750
yandex,cpc,prof-data-analytics,"01-06-2023",28,201507,28,28,4038832
yandex,cpc,freemium,"01-06-2023",30,501754,30,30,4023000
yandex,cpc,prof-python,"01-06-2023",30,1253608,30,30,4023000
vk,cpc,prof-python,"01-06-2023",30,145348,30,30,3780000
yandex,cpc,prof-python,"01-06-2023",30,1253608,30,30,3779850
yandex,cpc,prof-java,"01-06-2023",30,991171,30,30,3606120
yandex,cpc,freemium,"01-06-2023",30,501754,30,30,3600000
yandex,cpc,prof-frontend,"01-06-2023",30,1827336,30,30,3405780
